Title,URL,Description,Publication Icon,Not Safe For Work,Categories,Member Count,Show Member Count,Monthly Recurring Revenue (MRR),Show MRR,Ghost Rank,Featured,Feature Image,Text Color,Background Color,Accent Color,Language,MRR Members Rank,MRR Members Diff Rank,Show Iframe,Object ID,Created At,Updated At
Flat Box,https://www.flatbox.club/,Le rendez-vous hebdomadaire pour les propriétaires et les amoureux de Porsche,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1709998993049-icone.png?width=75&height=75&resize=contain,False,['gear & gadgets'],889,True,,False,10499066,False,,,,#f47e10,fr,889,2,True,9a1fcaf1-5de3-452a-af84-d7c2afe9d3ef,1709998994,1748084458
Gear & Grit,https://gearandgrit.com/,"Empowering Your Journey with Essential Gear and Insights for Work, Fitness and Play.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1704836369946-cropped-gear-grit-logo-square.png?width=75&height=75&resize=contain,False,['gear & gadgets'],512,True,,False,4653091,False,,,,#01d2ff,en,512,2,True,be67a05d-ad57-4688-b002-f5f3c5957e79,1704569597,1747865757
BTTR Reviews,https://www.bttr.reviews/,An Australian guide to the world of technology.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1738037197604-BTTR-purple-logo-no-circle--square--300x300.webp?width=75&height=75&resize=contain,False,['gear & gadgets'],188,True,,False,39556464,False,,,,#7000f4,en,188,12,True,a112837c-f1b1-4594-b095-0669321541ae,1722153132,1747982709
Stationery Vagaries,https://blog.stationeryvagaries.com/,"Ramblings about fountain pens, inks, & other stationery goodness.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1741427802936-TOGA-600x600-recolour2.jpg?width=75&height=75&resize=contain,False,['gear & gadgets'],118,True,,False,46349304,False,,,,#222222,en,118,7,True,bac8fa3d-7eeb-45e3-acbf-648c0c9e7ec7,1712325153,1738188682
Critical Crow Magazine,https://www.criticalcrow.ro/,"The best of Prepper, Technology, Business, Health, Home & Garden, and Christianity. Question everything, quality only.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1660476851551-CC7--300X300-.ico?width=75&height=75&resize=contain,False,['gear & gadgets'],97,True,0,True,40015338,False,,,,#487de1,en,97,1,True,a998bd7e-87d3-421d-8041-019186f3a4ce,1660476852,1720526411
Interblog,https://www.interblg.com/,The international blog,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1709920898799-favicon-ghost-3.png?width=75&height=75&resize=contain,False,['gear & gadgets'],90,True,0,True,82950519,False,,,,#1d9bf0,pt-br,90,0,True,8dfe975b-4c55-47a4-8170-9dcc3d685b9f,1709920900,1709837522
Shellshore,https://www.shellshore.com/,"Stationery Lovers Unite! Ranking and reviewing stationery from all kinds, such as fountain pens and mechanical pencils.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1676609104073-s--1-.png?width=75&height=75&resize=contain,False,['gear & gadgets'],44,True,0,True,18832972,False,,,,#84acce,en,44,10,True,33f2ecc5-f7a7-46b7-a6b9-6ebe7f72a06f,1676609104,1719966124
Penfount • Pen Community,https://penfount.ink/,Join us as we explore fountain pens and stationery in depth! Written and edited by Fediverse pen community members.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1721180569458-image-from-rawpixel-id-6061879-original%20cropped.jpeg?width=75&height=75&resize=contain,False,['gear & gadgets'],18,True,,False,104204479,False,,,,#b77cff,en,18,0,True,f2a5119f-bf74-4717-bae4-dd2cb62b0cf6,1721180571,1720396857
Key Chronicles,https://www.keychronicles.com/,"Dive into the latest trends, unique brands, and innovative designs shaping the keyboard landscape.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1705103089511-kc%20logo.png?width=75&height=75&resize=contain,False,['gear & gadgets'],2,True,0,True,11499997,False,,,,#141aff,en,2,0,True,d3a220ee-946c-429e-8fb7-0c3f5ce1597d,1705103090,1704828040
All Sorts of Tech,https://tech.activcount.info/,"The website focused on technology and innovations powered by the ESP microprocessors. It provides detailed articles, tutorials, and guides on building embedded devices.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1739759778318-instagram_template-001-2.png?width=75&height=75&resize=contain,False,['gear & gadgets'],0,False,,False,10500000,False,,,,#071f8d,en,0,0,True,9c4ad4a4-d28d-4b30-91ed-5370e5294151,1739759779,1739757132
Timeless Pursuit,https://www.timelesspursuit.com/,"Discover the art, stories, and innovation behind the world’s finest watches. Whether you’re a seasoned collector or a curious enthusiast, Timeless Pursuit is your gateway to horological inspiration.",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1739390686627-testlogo2.png?width=75&height=75&resize=contain,False,['gear & gadgets'],0,False,,False,10500000,False,,,,#c7af80,en,0,0,True,1e05cde6-5bfc-4e12-8aec-338d5e026301,1728762254,1748107303
Linkspanama,https://linkspanama.ghost.io/,¿Lo Quieres? ¡Lo Necesitas!,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1737817669005-favicon.ico?width=75&height=75&resize=contain,False,['gear & gadgets'],0,False,0,True,10500000,False,,,,#FF1A75,es,0,0,True,1722a97c-88b2-412d-a2c6-a29c213a34c2,1737817670,1737816975
Timepiece Voyage,https://www.timepiecevoyage.com/,Join our community of watch enthusiasts and explore the fascinating world of horology with Timepiece Voyage.,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1718800601214-logo.png?width=75&height=75&resize=contain,False,['gear & gadgets'],0,False,,False,10500000,False,,,,#153a00,en,0,0,True,1195e56a-466f-4476-b7fb-c40b6c9e8791,1718800603,1718797613
Blog đồ chơi của Haypley,https://xe.haypley.com/,"Trò chuyện về đồ chơi từ LEGO tới xe mô hình Hot Wheels, Matchbox, Tomica...",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1743037258427-haypley-logo-2023-128.png?width=75&height=75&resize=contain,False,['gear & gadgets'],0,False,,False,10500000,False,,,,#004ebc,vi,0,0,True,0304297b-56f6-46ca-bd42-8e92529f8683,1742394765,1746700688
Dicey Blog,https://www.dicey.com.au/,"Random Collection of Thoughts, Ideas and Musings",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1728787206046-Untitled-design--10--1.png?width=75&height=75&resize=contain,False,['gear & gadgets'],0,False,,False,11500000,False,,,,#5b19ff,en,0,0,False,88ecb300-7343-4152-956b-c7af77e3012e,1728787209,1728786671
News de Geek,https://www.newsdegeek.com/,"Actualité Geek & High Tech, Geek & High tech news, in French",https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1676579118706-logo-100px.png?width=75&height=75&resize=contain,False,['gear & gadgets'],0,False,,False,41388902,False,,,,#187fe2,fr,0,0,True,9e532a57-c0e6-4f95-a6ac-a91ae2957ccd,1676579119,1741336210
okrevie.ws,https://okrevie.ws/,just ok reviews!,https://supapjpiqdfzuaordcdx.supabase.co/storage/v1/render/image/public/images/1673073607167-icon.png?width=75&height=75&resize=contain,False,['gear & gadgets'],0,False,,False,82066506,False,,,,#30cf43,en,0,0,True,34b97a84-334a-425f-9a6c-989c3746103a,1673073608,1724698803
